학교구분,학교명,본분교,지역,주소,geometry
대학,한성대학교,본교,서울,"서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교) ",[127.010390004805 37.5832358514072]
대학,한세대학교,본교,경기,경기도 군포시 한세로 30 (당정동) ,[126.953885673336 37.3441460362666]
대학,한신대학교,본교,경기,"경기도 오산시 한신대길 137 (양산동, 한신대학교) ",[127.027451982136 37.1925943198315]
대학,한양대학교,본교,서울,"서울특별시 성동구 왕십리로 222 (사근동, 한양대학교) ",[127.046611216789 37.5545035492027]
대학,한양대학교(ERICA),분교,경기,"경기도 안산시 상록구 한양대학로 55 (사동, 한양대학교) ",[126.834393833262 37.2980047345996]
대학,서울한영대학교,본교,서울,서울특별시 구로구 경인로 290-42 (개봉동) ,[126.8512499816 37.4965810660171]
대학,한일장신대학교,본교,전북,"전라북도 완주군 상관면 왜목로 726-15 (신리, 한일장신대학교) ",[127.205860465992 35.7642830072176]
대학,협성대학교,본교,경기,"경기도 화성시 봉담읍 최루백로 72 (상리, 협성대학교) ",[126.953622970263 37.2132508835744]
대학,호남대학교,본교,광주,"광주광역시 광산구 호남대길 120 (서봉동, 호남대학본부) ",[126.765040345608 35.1499676556862]
대학,호남신학대학교,본교,광주,"광주광역시 남구 제중로 77 (양림동, 호남신학대학교) ",[126.910568702512 35.1401102946897]
대학,호서대학교,본교,충남,"충청남도 아산시 배방읍 호서로79번길 20 (세출리, 호서대학교) ",[127.077106928498 36.7344630229927]
대학,홍익대학교,본교,서울,"서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) ",[126.924990619497 37.5525192523979]
대학,가톨릭꽃동네대학교,본교,충북,"충청북도 청주시 서원구 현도면 상삼길 133 (상삼리, 꽃동네대학교) ",[127.402976065397 36.5219802800517]
대학,남부대학교,본교,광주,광주광역시 광산구 남부대길 1 (월계동) ,[126.842258172223 35.2070608996015]
대학,예원예술대학교,본교,전북,"전라북도 임실군 신평면 창인로 117 (창인리, 예원예술학교) ",[127.271466710832 35.6477649162508]
대학,예원예술대학교,제2캠퍼스,경기,경기도 양주시 은현면 예원대학로 56 ,[127.037081511912 37.8466722472472]
대학,목포가톨릭대학교,본교,전남,"전라남도 목포시 영산로 697 (석현동, 목포가톨릭대학교) ",[126.4198974075 34.8272766768797]
대학,부산장신대학교,본교,경남,경상남도 김해시 김해대로 1894-68 (구산동) ,[128.861718196765 35.256310877582]
대학,금강대학교,본교,충남,"충청남도 논산시 상월면 상월로 522 (대명리, 금강대학교) ",[127.189714025042 36.3068265947992]
대학,예수대학교,본교,전북,"전라북도 전주시 완산구 서원로 383 (중화산동1가, 예수대학교) ",[127.134788546126 35.8160936109445]
대학,한국국제대학교,본교,경남,"경상남도 진주시 문산읍 동부로 965 (상문리, 한국국제대학교) ",[128.19993693696 35.1758150452813]
